Number	IsWishList	Title	Description
9955	0	On Workspace changed, new instance of AstBuilder and Profiling reseted	Simple example on enabling profiling on Workspace changed.  csharp private void OnWorkspaceChanged(IWorkspaceModel workspace) {     HomeWorkspaceModel homeWorkspace = workspace as HomeWorkspaceModel;      if (homeWorkspace == null)         return;      homeWorkspace.EngineController.EnableProfiling(true, homeWorkspace, homeWorkspace.Nodes); } Profiling enabled for the newly opened workspace. Profiling can be enabled only when the current EngineController's private AstBuilder property doesn't have an active ProfilingSession. This is fine but for the fact that when opening a new file (changing the workspace), the EngineController gets reseted with a new instance and subsequently, its AstBuilder.  Problem is that this reset happens after the WorkspaceChanged event gets fired, so by the time we can enable profiling on the subscribed event, the EngineController gets reseted and profiling back to be disabled.    csharp private bool OpenJsonFileFromPath(string fileContents, string filePath, bool forceManualExecutionMode) {     try     {         DynamoPreferencesData dynamoPreferences = DynamoPreferencesDataFromJson(fileContents);         if (dynamoPreferences != null)         {             // TODO, QNTM-1101: Figure out JSON migration strategy             if (true) //MigrationManager.ProcessWorkspace(dynamoPreferences.Version, xmlDoc, IsTestMode, NodeFactory))             {                 WorkspaceModel ws;                 if (OpenJsonFile(filePath, fileContents, dynamoPreferences, forceManualExecutionMode, out ws))                 {                     OpenWorkspace(ws); // <-- THIS FIRES 'WorkspaceChanged' EVENT                      //Raise an event to deserialize the view parameters before                     //setting the graph to run                     OnComputeModelDeserialized();                      SetPeriodicEvaluation(ws); // <-- THIS RESETS 'EngineController' AND SUBSEQUENTLY DISABLES PROFILING                 }             }         }         return true;     }     catch (Exception e)     {         Console.WriteLine(e.Message);         return false;     } }   cc'ing @mjkkirschner @ColinDayOrg
8	1	Feature requestability to set/view Workspace Description and other metadata	Opening a dynamo workspace file (.dyn) with a text editor, I can see the Description field set to null. A file -> properties... menu entry that brings you to a form in which you can see and edit a project metadata, such as:  * Description * Author * Revision * Tags * Documentation  And so on.  My goal is index all my dyn/dyf files in a repository, extracting these metadata for a fast retrieval of workspaces. I cannot find a way to set the Description field from the GUI.
9778	0	Searching of nodes in Dynamo 2.0.2 is very slow	Searching for nodes in the library or in-canvas is very lagging, when typing the text. Almost unworkable. After restarting Dynamo it works again for a while. Then it starts occuring again after some time. Immediate response of what you type Delay of 5-10 seconds  List of installed packages:
10772	0	Surface.TrimWithEdgeLoops	Used a Surface.TrimWithEdgeLoops node which would seem to indicate a series of edge loops would be removed from the interior of a surface. A surface with holes in it. The perimeter curves of the holes as if they were filled in.  @mjkkirschner pointed out that the behavior changes by adding the edge loop as well.   [Doesn't work.dyn.txt]( [Works.dyn.txt](
8710	0	Index Group description	Index Group Node description _Meshes > Index Group > By Indices (a,b,c)_ _three_, not _four_
11271	0	Node error report from Dynamo 2.6.1.8786 - Read excel values - Dynabridge	3D Alignment from Excel point coordinates Nothing Dynabridge
39	1	Updating Dynamo Packages (pkg.json)	Updated an existing package Updated package with pkg.json correctly updated - key assemblies (node_libraries) should not be changed. pkg.json has been modified so my key assemblies are no longer listed:  node_libraries:[KonstruDynamo.customization, Version=1.6.4.0, Culture=neutral, PublicKeyToken=null,KonstruDynamoUI.customization, Version=1.6.4.0, Culture=neutral, PublicKeyToken=null]}  Only listing customization dlls but no node libraries.
10847	0	Comment Error in Code Block	Replaced variable with comment in Code Block Disappearance of input port
8223	0	Dynamo Package Manager doesn't honour file folder structure when publishing versions	Published a new version of BimorphNodes My file structure honoured: This is whats in my bin folder:   ....and this is what is in my extra folder: Once published however, my bin folder now looks like this:   and my extra folder:   Why is the Migrations XML moved to the extra folder when the primer states it must live in the root folder of the dll?   Why is the BimorphNodes2018.dll copied to the bin folder?  It then leads to these warnings in Dynamo, if the package is used in earlier versions of Revit, which wouldn't (and shouldn't) appear if my file folder structure was honoured:
67	1	Raising exceptions in custom nodes.	I created a Python Script node which raises an exception    It becomes yellow as expected and never reaches the OUT = 0 part    I then created a custom node with the exact same python script The custom node should become yellow and show a warning just like the Python Script node and return null. It does return null but it does not show a warning. It fails quietly, which makes debugging custom nodes harder.
10167	0	Dynamo Player doesn't work with OneDrive.	2.0.3 Windows 10 Tried to browse to a folder in my OneDrive, where i store all my Dynamo Files. When i clicked the folder with all my files i expected to see all my Dynamo Files in a list in the Dynamo Player. But nothing showed up, just no Dyn files where showing up, it seemed like the Dynamo Player froze on the last location. No dyn files did show up (see above). So i tried to reopen my Dynamo Player. When i closed down my Dynamo Player and tried to reopen it, it only opened in the background and didn't want to open properly anymore. The only solution was to delete all items in the Appdata/Local/Dynamoplayer-2 folder, after that my Dynamo Player worked as normal again. (I can recreate this problem every time when i try to access files in OneDrive).  PS: The normal Dynamo works perfect in combination with OneDrive, but the Dynamo Player bugs.
18	1	[Wish] Be able to install daily builds side by side with stable builds	Be able to install stable and daily builds side by side The daily build would overwrite the current stable build in use  Right now every time I'd like to test a new bug fix I'll have to: - uninstall my current stable build - install the daily build - restore all my settings, custom nodes and packages - test whatever I need to test - uninstall the daily build - re-install the stable build - restore all my settings, custom nodes and packages - hope nothing goes wrong between installs and Windows registry doesn't !@$ the bed as usual  As much as we would like to always use the greatest and latest available, when we're doing work, we expect the best stability currently available and have to keep an environment as closely resembling that of target the user base. This means that using a daily build for production is out of the question.  Having to go through the above list every time you need to test something, means nobody who actually uses dynamo on a daily basis is going to bother with the daily builds. New bugs and regressions will go unreported and will have a higher chance of reaching the stable builds and a higher chance of angry people knocking on your door, than necessary :)   If instead we could install daily builds side by side with the stable one and easily switch between the two, the usage of dailies will definitely go up  I've heard of people using virtual desktops and similar to try and ease testing but this is something prohibitively difficult for the larger audience. If you have any *simple* alternative solutions to testing daily builds, I would love to hear them - even better let's make a wiki guide and link to spread awareness.
6669	0	boolean to bool error in Code Block	In a Code Block Node, typed _boolean_ and then altered it to _bool_ An object type or a variable
11323	0	Rapport d'erreur de Dynamo 2.3.0.5885	Following tutirial on Excel to Revit on just a warning to fill in id for codeblock content : Revit.ElementSelector.ByElementId(id); Bug error nothing
150	1	Dynamo search less effective	Search for nodes The nodes I was searching for. Unrelated nodes in many cases, or nothing at all.  After installing Revit 2020, the new dynamo presented issues when searching for specific nodes. The search results were too limited and I had trouble finding what I want by typing key words, which in some cases turned up nothing. Whereas in the previous version it was much easier to find what I wanted.  The only way to work around this currently would be to type the node name exactly as it is (with points and exact word order), which kind of defeats the purpose of having a search.  I came to understand that there were changes made to the dynamo search to make it faster, but this happened at the expense of the ability to quickly get to the required node.  I am including a link to the [thread on the dynamo forum](where this issue was discussed by multiple affected users.
57	1	Can we tell Dynamo to stop running a 'branch' of the graph when we have Options?	I'm creating a graph with options (Using Mostafa's Data-Shapes package). If one option is chosen, the other option should not run (Which is a signification portion of the graph). The problem is data is passed through regardless (I'm currently using Mark's Logic.If - would love any suggestions) so it will attempt to run on an Empty List. Would love to have some form of feature that allows for one of these 'branches' to not execute.
9621	0	ZeroTouch Nodes - Node return type information missing for some zero-touch nodes.	Created a zero-touch node that returns an object who's ToString method returns a string starting with a bracket, for example a Tuple. The node should indicate what type is returned, or something other than an empty string. The node information bubble contains an empty string.    I've traced the bug back to the method ProcessThing in CompactBubbleHandler.   Using the Tuple as an example, when a tuple passes through this function it will enter the else block and since a Tuple.ToString returns  (T1, T2) the above code will remove everything after the first bracket and return an empty string.  ---  I understand this will only happen for types that aren't defined internally within Dynamo. So maybe this method should return External Type or something along those lines instead of an empty string?
45	1	Dynamo.All.sln project names are inconsistent with folder structure	Open the solution : Dynamo.All.sln The name of the folder structure matching the structure of the solution in Visual Studio. The name of the projects is different to the folders.  Not a big deal in itself, but any references to files on GitHub etc are not always straightforward to track down from the solution itself.  developerExperience would be a good label for this 😄
10376	0	Dynamo crashes upon opening through Revit	Open a script that was working previously Script to open Attempted to read or write protected memory. This is often an indication that other memory is corrupt.     at Dynamo.Wpf.Interfaces.IFileOpenDialog.Show(IntPtr parent)    at Dynamo.UI.DynamoOpenFileDialog.ShowDialog()    at Dynamo.ViewModels.DynamoViewModel.ShowOpenDialogAndOpenResult(Object parameter)    at Dynamo.UI.Controls.StartPageView.OnItemSelectionChanged(Object sender, SelectionChangedEventArgs e)    at System.Windows.RoutedEventArgs.InvokeHandler(Delegate handler, Object target)    at System.Windows.RoutedEventHandlerInfo.InvokeHandler(Object target, RoutedEventArgs routedEventArgs)    at System.Windows.EventRoute.InvokeHandlersImpl(Object source, RoutedEventArgs args, Boolean reRaised)    at System.Windows.UIElement.RaiseEventImpl(DependencyObject sender, RoutedEventArgs args)    at System.Windows.Controls.ListBox.OnSelectionChanged(SelectionChangedEventArgs e)    at System.Windows.Controls.Primitives.Selector.SelectionChanger.End()    at System.Windows.Controls.Primitives.Selector.SetSelectedHelper(Object item, FrameworkElement UI, Boolean selected)    at System.Windows.Controls.Primitives.Selector.NotifyIsSelectedChanged(FrameworkElement container, Boolean selected, RoutedEventArgs e)    at System.Windows.EventRoute.InvokeHandlersImpl(Object source, RoutedEventArgs args, Boolean reRaised)    at System.Windows.UIElement.RaiseEventImpl(DependencyObject sender, RoutedEventArgs args)    at System.Windows.Controls.ListBoxItem.OnSelected(RoutedEventArgs e)    at System.Windows.Controls.ListBoxItem.OnIsSelectedChanged(DependencyObject d, DependencyPropertyChangedEventArgs e)    at System.Windows.DependencyObject.OnPropertyChanged(DependencyPropertyChangedEventArgs e)    at System.Windows.FrameworkElement.OnPropertyChanged(DependencyPropertyChangedEventArgs e)    at System.Windows.DependencyObject.NotifyPropertyChange(DependencyPropertyChangedEventArgs args)    at System.Windows.DependencyObject.UpdateEffectiveValue(EntryIndex entryIndex, DependencyProperty dp, PropertyMetadata metadata, EffectiveValueEntry oldEntry, EffectiveValueEntry& newEntry, Boolean coerceWithDeferredReference, Boolean coerceWithCurrentValue, OperationType operationType)    at System.Windows.DependencyObject.SetValueCommon(DependencyProperty dp, Object value, PropertyMetadata metadata, Boolean coerceWithDeferredReference, Boolean coerceWithCurrentValue, OperationType operationType, Boolean isInternal)    at System.Windows.DependencyObject.SetCurrentValueInternal(DependencyProperty dp, Object value)    at System.Windows.Controls.ListBox.NotifyListItemClicked(ListBoxItem item, MouseButton mouseButton)    at System.Windows.Controls.ListBoxItem.HandleMouseButtonDown(MouseButton mouseButton)    at System.Windows.Controls.ListBoxItem.OnMouseLeftButtonDown(MouseButtonEventArgs e)    at System.Windows.RoutedEventArgs.InvokeHandler(Delegate handler, Object target)    at System.Windows.RoutedEventHandlerInfo.InvokeHandler(Object target, RoutedEventArgs routedEventArgs)    at System.Windows.EventRoute.InvokeHandlersImpl(Object source, RoutedEventArgs args, Boolean reRaised)    at System.Windows.UIElement.ReRaiseEventAs(DependencyObject sender, RoutedEventArgs args, RoutedEvent newEvent)    at System.Windows.UIElement.OnMouseDownThunk(Object sender, MouseButtonEventArgs e)    at System.Windows.RoutedEventArgs.InvokeHandler(Delegate handler, Object target)    at System.Windows.RoutedEventHandlerInfo.InvokeHandler(Object target, RoutedEventArgs routedEventArgs)    at System.Windows.EventRoute.InvokeHandlersImpl(Object source, RoutedEventArgs args, Boolean reRaised)    at System.Windows.UIElement.RaiseEventImpl(DependencyObject sender, RoutedEventArgs args)    at System.Windows.UIElement.RaiseTrustedEvent(RoutedEventArgs args)    at System.Windows.Input.InputManager.ProcessStagingArea()    at System.Windows.Input.InputManager.ProcessInput(InputEventArgs input)    at System.Windows.Input.InputProviderSite.ReportInput(InputReport inputReport)    at System.Windows.Interop.HwndMouseInputProvider.ReportInput(IntPtr hwnd, InputMode mode, Int32 timestamp, RawMouseActions actions, Int32 x, Int32 y, Int32 wheel)    at System.Windows.Interop.HwndMouseInputProvider.FilterMessage(IntPtr hwnd, WindowMessage msg, IntPtr wParam, IntPtr lParam, Boolean& handled)    at System.Windows.Interop.HwndSource.InputFilterMessage(IntPtr hwnd, Int32 msg, IntPtr wParam, IntPtr lParam, Boolean& handled)    at MS.Win32.HwndWrapper.WndProc(IntPtr hwnd, Int32 msg, IntPtr wParam, IntPtr lParam, Boolean& handled)    at MS.Win32.HwndSubclass.DispatcherCallbackOperation(Object o)    at System.Windows.Threading.ExceptionWrapper.InternalRealCall(Delegate callback, Object args, Int32 numArgs)    at System.Windows.Threading.ExceptionWrapper.TryCatchWhen(Object source, Delegate callback, Object args, Int32 numArgs, Delegate catchHandler)
7702	0	Warning No item exists at specified index address when using List.SortByKey	When trying to get the first sublist of List.SortByKey i get an error saying: Warning: No item exists at specified index address.  The exact same method works fine on an identical list of lists I create manually. I expect to get the first sublist of the global list No sublist for me...   Screenshot:
7724	0	Crash Report - 20170321	Deleted few code blocks with simple functions defined in them A clear canvas Exception of type 'ProtoCore.Exceptions.CompilerInternalException' was thrown.     at ProtoCore.Core.BfsBuildSequenceTable(CodeBlock codeBlock, SymbolTable[] runtimeSymbols)    at ProtoCore.Core.BfsBuildSequenceTable(CodeBlock codeBlock, SymbolTable[] runtimeSymbols)    at ProtoCore.Core.GenerateExecutable()    at ProtoScript.Runners.ProtoScriptRunner.CompileAndGenerateExe(List1 astList, Core compileCore, Context context)    at ProtoScript.Runners.LiveRunner.Compile(List1 astList, Core targetCore)    at ProtoScript.Runners.LiveRunner.CompileAndExecute(List1 astList)    at ProtoScript.Runners.LiveRunner.CompileAndExecuteForDeltaExecution(List1 astList)    at ProtoScript.Runners.LiveRunner.SynchronizeInternal(GraphSyncData syncData)    at ProtoScript.Runners.LiveRunner.UpdateGraph(GraphSyncData syncData)    at Dynamo.Scheduler.UpdateGraphAsyncTask.HandleTaskExecutionCore()    at Dynamo.Scheduler.AsyncTask.Execute()
9764	0	Crash report from Dynamo 2.3.0.5123	Increased value in defined function  [20190602-1.zip]( Longer list None
9934	0	Show Edges setting causes blank Geometry View	Switched on the Show Edges setting from the Settings tab. Wasn't sure what it did, but wanted to find out by selecting it. The geometry view goes blank  Before setting is selected:   After setting is selected:
10382	0	Dynamo not run script	run the scrpit the script runing all nodes with nulls values, even new ones. A simple new code block with 1+1; return null value and .Dynamo do nothing None
9117	0	Node to code Backslashes in strings do not get escaped	Ran node to code on a string node that contained a string that ended with a backslash An error-free code block Code block turned red, since backslash was not escaped upon conversion, producing a Invalid Associative_FunctionalStatement error.
9910	0	Crash when undoing in graph with Revit nodes in Sandbox	Open graph that has Revit nodes in Dynamo Sandbox. Move group on canvas Undo move -> crash No crash. Crash. Happens only on this graph, trying to move the get room boundaries & combine intersecting... groups, then undo.
11199	0	Issue Dynamo 2.5.2.7915	Using node ScopeIf How it works? Error. Civil3DToolkit
6797	0	[Daily build] Samples missing from Dynamo Sandbox	Opened Dynamo Sandbox and went to the Help > Samples menu A menu list of samples No menu list.   This is only happening inside the Sandbox. If you launch Dynamo from inside Revit, the samples appear. This is a tiny bug but most of the samples do not require Revit and it would be nice to have them available once more.
10580	0	Cannot change Title of Nodes with Preview Turned Off	Two actions:  1. Double-clicked on the title of a general (any) node that has been greyed out (Preview is turned Off)  2. Double-clicked on the title of a PYTHON node that has een greyed out (Preview is turned Off) The dialog box to rename the node title 1. In the first case (any general node), nothing happens. I could not rename the node. I am not sure if this is a bug, but the fact that a node display/Preview output is disabled should not mean I cannot rename it.  2. In the second case (a python script node), the python editor opens up even though I clicked on the title not the body of the node. This behaviour is different when the node is enabled (i.e. Preview is turned ON). None that are relevant.
11357	0	Dynamo sandbox 2.8 / 2.9 startup crash report	Start up Dynamo sandbox by doubleclicking exe file Dynamo starting regularly See attached images.  Only fix is to restart pc.
92	1	Wish Remove A360 login for local package publishing	Selected a custom node and chose Publish selected node in the context menu The Publish Package dialogue The A360 login prompt. For publishing a package locally this does not seem necessary. Maybe it would make more sense to show the prompt only if the Publish online option is selected. Also, not having to constrain a local package to a single A360 account would facilitate having multiple package maintainers (until that is a supported feature).
11100	0	Crash	run dynamo crash Runtime exception occured. The Type of StackValue is not Integer     場所 ProtoCore.DSASM.StackValue.get_IntegerValue()    場所 ProtoCore.DSASM.Executive.GetCurrentScope(Int32& classIndex, Int32& functionIndex)    場所 ProtoCore.DSASM.Executive.DEP_Handler(Instruction instruction)    場所 ProtoCore.DSASM.Executive.Execute(Int32 exeblock, Int32 entry, Language language)    場所 ProtoCore.DSASM.Executive.Execute(Int32 exeblock, Int32 entry, List1 breakpoints, Language language)    場所 ProtoCore.DSASM.Executive.BounceUsingExecutive(Executive executive, Int32 exeblock, Int32 entry, StackFrame stackFrame, Int32 locals, Boolean fepRun, Executive exec, List1 breakpoints)    場所 ProtoScript.Runners.ProtoScriptRunner.ExecuteLive(Core core, RuntimeCore runtimeCore)    場所 ProtoScript.Runners.LiveRunner.Execute(Boolean isCodeCompiled)    場所 ProtoScript.Runners.LiveRunner.CompileAndExecute(List1 astList)    場所 ProtoScript.Runners.LiveRunner.CompileAndExecuteForDeltaExecution(List1 astList)    場所 ProtoScript.Runners.LiveRunner.SynchronizeInternal(GraphSyncData syncData)    場所 ProtoScript.Runners.LiveRunner.UpdateGraph(GraphSyncData syncData)    場所 Dynamo.Scheduler.UpdateGraphAsyncTask.HandleTaskExecutionCore()    場所 Dynamo.Scheduler.AsyncTask.Execute()
10942	0	Crash report from Dynamo 2.3.0.5885	I was trying to set some project information by opening the document file in the background, modifying it and then save it. The files being modified in the backgroud The bug below :( Orchid    v. 203.1.2.7323 GeniusLoci v.2019.9.4 Rhythm v.2020.2.13
10725	0	Data.ImportExcel error from Dynamo 2.3.0.5885	Trying to import data from Excel Read Data from Excel file Warning: Data.ImportExcel operation failed.  The RPC server is unavailable. (Exception from HRESULT: 0x800706BA) None I think
9195	0	Running .dyn's in sequence fails to execute all dyn's	Tried to run multiple .dyn files consecutively via ViewExtension All .dyn files executed when called via ViewExtension Only a 3-5 (varies) out of 15 .dyn files executed on first run. Second run executes all of them.
7909	0	Crash Report 20170530	Last, added a comment in a code block Nothing, as the file was working alright. Actually made no significant alteration before the crash. Crash window appeared during a period of inactivity    Method failed with unexpected error code 50.     at System.Security.AccessControl.NativeObjectSecurity.CreateInternal(ResourceType resourceType, Boolean isContainer, String name, SafeHandle handle, AccessControlSections includeSections, Boolean createByName, ExceptionFromErrorCode exceptionFromErrorCode, Object exceptionContext)    at System.Security.AccessControl.FileSystemSecurity..ctor(Boolean isContainer, String name, AccessControlSections includeSections, Boolean isDirectory)    at System.Security.AccessControl.DirectorySecurity..ctor(String name, AccessControlSections includeSections)    at DynamoUtilities.PathHelper.HasWritePermissionOnDir(String folderPath)    at DynamoUtilities.PathHelper.IsReadOnlyPath(String filePath)    at Dynamo.Controls.PathToFileNameConverter.Convert(Object value, Type targetType, Object parameter, CultureInfo culture)    at System.Windows.Data.BindingExpression.TransferValue(Object newValue, Boolean isASubPropertyChange)    at MS.Internal.Data.ClrBindingWorker.NewValueAvailable(Boolean dependencySourcesChanged, Boolean initialValue, Boolean isASubPropertyChange)    at MS.Internal.Data.PropertyPathWorker.UpdateSourceValueState(Int32 k, ICollectionView collectionView, Object newValue, Boolean isASubPropertyChange)    at MS.Internal.Data.ClrBindingWorker.OnSourcePropertyChanged(Object o, String propName)    at System.Windows.WeakEventManager.ListenerList1.DeliverEvent(Object sender, EventArgs e, Type managerType)    at System.ComponentModel.PropertyChangedEventManager.OnPropertyChanged(Object sender, PropertyChangedEventArgs args)    at System.ComponentModel.PropertyChangedEventHandler.Invoke(Object sender, PropertyChangedEventArgs e)    at Microsoft.Practices.Prism.ViewModel.NotificationObject.RaisePropertyChanged(String propertyName)    at Dynamo.ViewModels.WorkspaceViewModel.ModelPropertyChanged(Object sender, PropertyChangedEventArgs e)    at System.ComponentModel.PropertyChangedEventHandler.Invoke(Object sender, PropertyChangedEventArgs e)    at Dynamo.Core.NotificationObject.RaisePropertyChanged(String propertyName)    at Dynamo.Models.DynamoModel.<SaveBackupFiles>b__3b()    at System.Windows.Threading.ExceptionWrapper.InternalRealCall(Delegate callback, Object args, Int32 numArgs)    at System.Windows.Threading.ExceptionWrapper.TryCatchWhen(Object source, Delegate callback, Object args, Int32 numArgs, Delegate catchHandler)
6508	0	PointAtParameter on selected Revit Mass Face ignores Brep extents 	Created an array of points using cross product lacing on a selected face from a Revit mass. The mass is orthogonally extruded. However, when the edge is lifted such that the face is sheared, there there is a bug as described below and shown in the attached images. That the points are generated within the parameter space of the brep. The points are generated within an invisible 'bounding box' of the extents of the selected face/surface  <img width=927 alt=orthogonal extrusion src=<img width=970 alt=sheared extrusion src= If the mass is edited at a corner point - if a corner is pulled in such a way that the selected face becomes double-curved, then the points map within its UV parameter space as expected. <img width=945 alt=double curved extrusion src=
10620	0	Civil 3D Errors when deleting objects created by Dynamo	1. Ran a Dynamo script that created Civil 3D objects.  The object type does not seem to matter.   1. Close Dynamo, save drawing, and exit Civil 3D. 1. Open Civil 3D and drawing.  Open Dynamo script from step 1. (do not run) 1. In Civil 3D, delete the Civil 3D objects created in step 1. Civil 3D objects are deleted without errors. I'm seeing a reoccurring issue when I try to delete objects in Civil 3D that were created by Dynamo.  As shown in the image, I tried to delete these profile objects, but empty profiles are left behind.  The only way I can remove them is by auditing the drawing.  However, Civil 3D crashes with a fatal error when I try to close the drawing after that. See  [FatalError.txt](  This only seems to happen if the dyn file that created the objects is open in Dynamo.  Even if the dyn has not been run for the current session.    Here is a sample dwg and dyn file in case the issue is related to one of these and not an overall issue. [sample.zip](
10298	0	Crash report from Dynamo 2.3.0.5885	Pressed Dynamo Player button; Player does not open; Dynamo Player button becomes greyed out Dynamo Player Nothing
7991	0	Error Report 20170621	Working on a relatively complex code block with multiple nested functions The expected outcome (takes a while to process) Exception of type 'ProtoCore.Exceptions.CompilerInternalException' was thrown.     at ProtoFFI.CLRObjectMarshler.UnMarshal(StackValue dsObject, Context context, Interpreter dsi, Type expectedCLRType)    at ProtoFFI.CollectionMarshaler.UnMarshal(StackValue dsObject, Context context, Interpreter dsi, Type expectedCLRType)    at ProtoFFI.CLRObjectMarshler.UnMarshal(StackValue dsObject, Context context, Interpreter dsi, Type expectedCLRType)    at ProtoFFI.CLRFFIFunctionPointer.Execute(Context c, Interpreter dsi)    at ProtoCore.Lang.FFIFunctionEndPoint.Execute(Context c, List1 formalParameters, StackFrame stackFrame, RuntimeCore runtimeCore)    at ProtoCore.CallSite.ExecWithZeroRI(List1 functionEndPoint, Context c, List1 formalParameters, StackFrame stackFrame, RuntimeCore runtimeCore, FunctionGroup funcGroup, SingleRunTraceData previousTraceData, SingleRunTraceData newTraceData)    at ProtoCore.CallSite.Execute(List1 functionEndPoint, Context c, List1 formalParameters, List1 replicationInstructions, StackFrame stackFrame, RuntimeCore runtimeCore, FunctionGroup funcGroup)    at ProtoCore.CallSite.DispatchNew(Context context, List1 arguments, List1 partialReplicationGuides, DominantListStructure domintListStructure, StackFrame stackFrame, RuntimeCore runtimeCore)    at ProtoCore.CallSite.JILDispatch(List1 arguments, List1 replicationGuides, DominantListStructure domintListStructure, StackFrame stackFrame, RuntimeCore runtimeCore, Context context)    at ProtoCore.DSASM.Executive.Callr(Int32 blockDeclId, Int32 functionIndex, Int32 classIndex, Boolean& explicitCall, Boolean isDynamicCall, Boolean hasDebugInfo)    at ProtoCore.DSASM.Executive.CALLR_Handler(Instruction instruction)    at ProtoCore.DSASM.Executive.Execute(Int32 exeblock, Int32 entry, Language language)    at ProtoCore.DSASM.Executive.Execute(Int32 exeblock, Int32 entry, List1 breakpoints, Language language)    at ProtoCore.DSASM.Interpreter.Run(Int32 codeblock, Int32 entry, Language lang, List1 breakpoints)    at ProtoCore.Lang.JILFunctionEndPoint.Execute(Context c, List1 formalParameters, StackFrame stackFrame, RuntimeCore runtimeCore)    at ProtoCore.CallSite.ExecWithZeroRI(List1 functionEndPoint, Context c, List1 formalParameters, StackFrame stackFrame, RuntimeCore runtimeCore, FunctionGroup funcGroup, SingleRunTraceData previousTraceData, SingleRunTraceData newTraceData)    at ProtoCore.CallSite.ExecWithRISlowPath(List1 functionEndPoint, Context c, List1 formalParameters, List1 replicationInstructions, StackFrame stackFrame, RuntimeCore runtimeCore, FunctionGroup funcGroup, SingleRunTraceData previousTraceData, SingleRunTraceData newTraceData)    at ProtoCore.CallSite.ExecWithRISlowPath(List1 functionEndPoint, Context c, List1 formalParameters, List1 replicationInstructions, StackFrame stackFrame, RuntimeCore runtimeCore, FunctionGroup funcGroup, SingleRunTraceData previousTraceData, SingleRunTraceData newTraceData)    at ProtoCore.CallSite.Execute(List1 functionEndPoint, Context c, List1 formalParameters, List1 replicationInstructions, StackFrame stackFrame, RuntimeCore runtimeCore, FunctionGroup funcGroup)    at ProtoCore.CallSite.DispatchNew(Context context, List1 arguments, List1 partialReplicationGuides, DominantListStructure domintListStructure, StackFrame stackFrame, RuntimeCore runtimeCore)    at ProtoCore.CallSite.JILDispatch(List1 arguments, List1 replicationGuides, DominantListStructure domintListStructure, StackFrame stackFrame, RuntimeCore runtimeCore, Context context)    at ProtoCore.DSASM.Executive.Callr(Int32 blockDeclId, Int32 functionIndex, Int32 classIndex, Boolean& explicitCall, Boolean isDynamicCall, Boolean hasDebugInfo)    at ProtoCore.DSASM.Executive.CALLR_Handler(Instruction instruction)    at ProtoCore.DSASM.Executive.Execute(Int32 exeblock, Int32 entry, Language language)    at ProtoCore.DSASM.Executive.Execute(Int32 exeblock, Int32 entry, List1 breakpoints, Language language)    at ProtoCore.DSASM.Executive.BounceUsingExecutive(Executive executive, Int32 exeblock, Int32 entry, StackFrame stackFrame, Int32 locals, Boolean fepRun, Executive exec, List1 breakpoints)    at ProtoScript.Runners.ProtoScriptRunner.ExecuteLive(Core core, RuntimeCore runtimeCore)    at ProtoScript.Runners.LiveRunner.Execute(Boolean isCodeCompiled)    at ProtoScript.Runners.LiveRunner.CompileAndExecute(List1 astList)    at ProtoScript.Runners.LiveRunner.CompileAndExecuteForDeltaExecution(List1 astList)    at ProtoScript.Runners.LiveRunner.SynchronizeInternal(GraphSyncData syncData)    at ProtoScript.Runners.LiveRunner.UpdateGraph(GraphSyncData syncData)    at Dynamo.Scheduler.UpdateGraphAsyncTask.HandleTaskExecutionCore()    at Dynamo.Scheduler.AsyncTask.Execute()
10436	0	Crash report from Dynamo 2.3.0.5885	I was running a dynamo script periodically. It runs fine for roughly 100 runs, and then crashes and shows the error message as attached. And when I restart dynamo, it runs fine for another 100 runs or so and then crashes. Error message shown: Array dimensions exceeded supported range.     at System.Collections.Generic.List1.set_Capacity(Int32 value)    at System.Collections.Generic.List1.EnsureCapacity(Int32 min)    at System.Collections.Generic.List1.Add(T item)    at ProtoCore.Runtime.RuntimeMemory.PushStackFrame(StackFrame stackFrame)    at ProtoCore.DSASM.Executive.BounceUsingExecutive(Executive executive, Int32 exeblock, Int32 entry, StackFrame stackFrame, Int32 locals, Boolean fepRun, Executive exec, List1 breakpoints)    at ProtoScript.Runners.ProtoScriptRunner.ExecuteLive(Core core, RuntimeCore runtimeCore)    at ProtoScript.Runners.LiveRunner.Execute(Boolean isCodeCompiled)    at ProtoScript.Runners.LiveRunner.ApplyUpdate()    at ProtoScript.Runners.LiveRunner.CompileAndExecuteForDeltaExecution(List1 astList)    at ProtoScript.Runners.LiveRunner.SynchronizeInternal(GraphSyncData syncData)    at ProtoScript.Runners.LiveRunner.UpdateGraph(GraphSyncData syncData)    at Dynamo.Scheduler.UpdateGraphAsyncTask.HandleTaskExecutionCore()    at Dynamo.Scheduler.AsyncTask.Execute()
26	1	Concatenate null to string	I concatenated an object into a string. Example:  testObj = null; testStr = testObj:  + testObj + \n; return = testStr; The output to be as follows:  testStr: null Just a null in the output.
10826	0	Crash report from Dynamo 2.3.0.5885	I updated my PC to new version of windows, and installed latest version of Revit full dynamo graph also behaves the same when I have not loaded any custom packages
